plate,comp,ineq_treatment,hyphal_bm_mg,hyphal_QD_total,hyphal_QD_total_from_other_hypal,hyphal_QD_in_root_from_poor_total,hyphal_QD_in_root_from_rich_total,percent_cyto,percent_vac,root_bm_mg,total_root_bm_mg,root_QD_per_mg_root_rich_origin,root_QD_per_mg_root_poor_origin
1,Poor,High,0.37205142,0.000764454,0.001544546,NA,NA,89.75492218,10.24507782,NA,NA,NA,NA
1,Rich,High,NA,NA,NA,NA,NA,96.07922759,3.92077241,NA,NA,NA,NA
1,Root,High,0.750881103,NA,NA,0.00070094,0.001014732,72.91698325,27.08301675,34.5,62.2,0.000966771,0.000441
2,Poor,High,0.125894906,0.002619892,0.005270608,NA,NA,93.20919784,6.790802157,NA,NA,NA,NA
2,Rich,High,0.314139401,0.001728846,0.001040939,NA,NA,84.91284686,15.08715314,NA,NA,NA,NA
2,Root,High,0.533997026,NA,NA,0.000787802,0.001141077,54.5009995,45.4990005,29,72.3,0.000763614,0.000091
3,Poor,High,0.259159534,0.001361083,0.002428771,NA,NA,91.19278131,8.807218689,NA,NA,NA,NA
3,Rich,High,0.124157405,0.010298497,0.006555017,NA,NA,91.9536407,8.046359298,NA,NA,NA,NA
3,Root,High,0.450937076,NA,NA,0.001210638,0.001846122,70.78510149,29.21489851,35.3,73,0.000649354,0.000169
4,Poor,High,0.617198861,0.000649032,0.000864111,NA,NA,87.18211613,12.81788387,NA,NA,NA,NA
4,Rich,High,0.117129044,0.004072797,0.003180089,NA,NA,82.6234946,17.3765054,NA,NA,NA,NA
4,Root,High,0.489047495,NA,NA,0.001291084,0.002002832,62.11202607,37.88797393,36.1,77.6,0.000655023,0.000504
5,Poor,High,0.160767179,0.002899467,0.004085946,NA,NA,89.868959,10.131041,NA,NA,NA,NA
5,Rich,High,0.094747914,0.0058696,0.005110316,NA,NA,86.78785745,13.21214255,NA,NA,NA,NA
5,Root,High,0.995396371,NA,NA,0.000409753,0.000514374,71.0365968,28.9634032,35.5,67.9,0.000323328,0.000019
