plate,comp_nutrients,root_bm_mg,total_root_bm_mg,root_QD_per_mg_root,hyphal_QD_compartment_mg,hyphal_biomass_root_compartment,total_hyphal_biomass(mg)
124,10,32.2,32.2,0.000444791,0.225050713,0.2,0.43
125,10,34.6,49.94,0.00042797,0.285458056,1.98,2.26
126,10,22.9,22.9,0.000445654,NA,0.95,NA
127,10,34.1,34.1,0.000215072,0.614438981,0.81,1.42
128,10,48.34,57.24,0.000363254,0.253796601,0.22,0.47
129,10,30.39,42.91,0.000306147,0.706334516,0.42,1.13
130,10,32.26,43.9,0.000287826,0.483786994,0.18,0.66
131,10,32.92,50.59,0.000102523,0.502699876,0.6,1.11
132,10,32.22,43.3,0.000192671,0.144474139,0.1,0.24
133,10,23.99,23.99,0.000336179,0.193611983,0.4,0.59
134,10,34.76,41.26,0.000119312,0.265179766,NA,NA
135,10,37.41,45.82,0.000386087,0.385647032,0.11,0.49
136,10,25.82,28.58,0.000401084,1.632650024,1.25,2.89
137,10,36.68,41.73,0.000380469,0.173986607,0.62,0.8
138,10,37.84,42.03,0.000389997,0.449082674,0.84,1.29
139,10,25.64,30.94,0.000460664,2.336229151,0.88,3.22
140,10,33.69,47.52,0.000338282,0.833905843,0.6,1.43
141,30,32.37,41.12,0.000238187,0.540564731,0.4,0.94
142,30,29.52,33.16,0.000604345,0.372173883,0.3,0.67
143,30,41.02,57.66,0.00046392,0.529221791,0.48,1.01
144,30,39.57,53.18,0.000471684,0.602159095,0.31,0.91
145,30,29.13,29.13,0.000493682,0.221623804,1.55,1.78
146,30,32.94,40.41,0.000291906,0.461215734,1.86,2.33
147,30,41.38,53.8,0.000496872,0.433663652,0.47,0.91
148,30,29.5,39.47,0.000407517,2.360253951,0.46,2.82
149,30,36.35,53.45,0.000410089,1.327665142,0.62,1.94
150,30,34.64,48.74,NA,1.472390783,0.22,1.69
151,30,38.47,48.07,0.000257728,0.411727522,0.8,1.21
152,30,32.62,32.62,0.000430807,0.991771127,0.35,1.34
153,30,32.06,41.12,0.000155857,0.410723028,0.3,0.71
154,50,37.07,37.07,0.000239281,0.400751625,0.67,1.07
155,50,41.4,55.5,0.000258373,0.48889026,0.24,0.73
156,50,41.5,57.7,0.000534827,0.22609988,0.78,1
157,50,34.6,43.9,0.000541034,0.762510134,0.55,1.32
158,50,34.6,40.1,0.000408182,0.362455836,0.28,0.64
159,50,38.7,47.1,0.000301185,0.236532867,0.3,0.54
160,50,35.5,38.4,0.000298823,0.203390106,0.2,0.4
161,50,48.9,58.1,0.000188387,0.090644781,0.52,0.61
162,50,30.9,33.2,0.000322525,0.360303905,0.23,0.59
163,50,40.1,59.5,0.000363626,NA,0.26,NA
164,50,29.6,29.6,0.000126567,0.457418474,0.16,0.61
165,50,39.1,39.1,0.000525009,0.212203805,0.75,0.96
166,70,42.6,57.7,0.000539842,0.192911205,0.41,0.6
167,70,43.6,57.6,5.60005E-05,0.142532554,0.16,0.3
168,70,23.73,40.47,0.000854608,0.205011349,0.43,0.63
169,70,29.76,36.9,0.000804139,0.305276814,0.15,0.46
170,70,29.9,29.9,0.001439891,0.282088127,0.17,0.45
171,70,42.32,59.01,0.000910622,0.275727624,0.43,0.71
172,70,41.19,52.79,0.000313335,0.294661849,0.16,0.45
173,70,32.29,32.29,0.000578728,1.000675792,NA,NA
174,70,36.38,51.68,0.001195688,0.368848091,0.38,0.75
175,70,33.81,33.81,0.000540984,0.166044226,0.15,0.31
176,70,37.72,54.7,0.000116414,0.273512501,0.52,0.79
177,70,39.69,50.16,0.000358396,0.344727132,0.31,0.65
178,70,48.61,56.53,3.16864E-05,0.340367729,0.4,0.74
179,70,47.28,62.12,0.000206318,0.141946137,0.2,0.34
180,70,52.63,62.53,0.00022322,0.126211879,0.36,0.48
181,90,33.59,35.43,0.001320913,0.140322748,0.14,0.28
182,90,35.14,38.56,0.000760789,0.115993383,0.14,0.26
183,90,8.13,14.45,0.001252873,0.136870857,0.13,0.27
184,90,13.87,29.15,0.000471018,0.163662288,0.33,0.49
185,90,37.12,57.43,0.000401054,0.468058947,0.6,1.07
186,90,34.61,49.78,0.000477187,0.150145982,0.29,0.44
187,90,45.1,79.21,0.000458388,0.113634188,0.71,0.82
188,90,41.9,57.73,0.000106285,0.102365106,0.7,0.81
189,90,43.31,50.93,0.000896652,0.219475214,0.26,0.48
190,90,54.93,70.28,0.000496688,0.219417262,0.71,0.92
191,90,30.91,30.91,0.000824732,0.129231886,0.37,0.5
192,90,34.81,53.81,0.000862218,0.130676487,0.3,0.43
193,90,35.79,35.79,0,0.143172283,0.19,0.33
194,90,33.17,34.73,8.16324E-05,0.129812585,0.13,0.26
