pot,ineq_treatment,mycorrhizal_treatment,QD_treatment,comp,total_shoot_mass_g,QD_mg_shoot,total_root_mass_g,QD_mg_root
1,None,NM,488nm,50,0.4719,0.000218763,0.14295,0.000373159
1,None,NM,666nm,50,0.4719,0.000928772,0.24808,0.000106207
3,None,NM,488nm,50,0.38339,0.000661679,0.08578,0.000367247
3,None,NM,666nm,50,0.38339,0.001102836,0.09514,0.000130372
4,None,NM,488nm,50,0.40467,0.000871094,0.17368,0.000333669
4,None,NM,666nm,50,0.40467,0.001145745,0.17534,0.000147293
6,None,NM,488nm,50,0.40683,0.000570022,0.1389,0.000349593
6,None,NM,666nm,50,0.40683,0.001000833,0.07885,0.000156986
9,None,NM,488nm,50,0.33165,0.000831546,0.10099,0.000326848
9,None,NM,666nm,50,0.33165,0.001034511,0.08615,0.000358463
10,None,NM,488nm,50,0.45972,0.000881491,0.11294,0.000408461
10,None,NM,666nm,50,0.45972,0.000886251,0.11361,0.000153349
11,None,NM,488nm,50,0.49259,0.0010995,0.0752,0.000359513
11,None,NM,666nm,50,0.49259,0.001017353,0.09272,0.000202852
12,None,NM,488nm,50,0.49856,0.000532327,0.12825,0.000384231
12,None,NM,666nm,50,0.49856,0.001053524,0.19453,0.000245357
13,High,NM,488nm,90,0.42961,0.000529402,0.14822,0.000128964
13,High,NM,666nm,10,0.42961,0.000925096,0.09342,0.000363765
14,High,NM,488nm,90,0.3886,0.000789474,0.16766,0.000994434
14,High,NM,666nm,10,0.3886,0.000794705,0.06706,0.000346704
15,High,NM,488nm,90,0.47767,0.000253685,0.13709,0.000232645
15,High,NM,666nm,10,0.47767,0.001009824,0.06787,0.000322663
16,High,NM,488nm,90,0.43249,0.000790119,0.17251,0.000154799
16,High,NM,666nm,10,0.43249,0.000788955,0.05022,0.000327704
17,High,NM,488nm,90,0.55502,0.000871511,0.12121,0.000163045
17,High,NM,666nm,10,0.55502,0.001135333,0.07974,0.000324064
18,High,NM,488nm,90,0.4996,0.000907026,0.14987,0.000150522
18,High,NM,666nm,10,0.4996,0.000938081,0.15605,0.000494555
19,High,NM,488nm,10,0.62118,0.002424857,0.11127,0.000173937
19,High,NM,666nm,90,0.62118,0.00111053,0.16277,0.000311929
20,High,NM,488nm,10,0.56371,0.00234299,0.08033,0.001160632
20,High,NM,666nm,90,0.56371,0.001071331,0.16586,0.000303977
23,High,NM,488nm,10,0.61808,0.000646035,0.13859,0.000162466
23,High,NM,666nm,90,0.61808,0.00094421,0.17771,0.000595955
24,High,NM,488nm,10,0.53734,0.000749029,0.13977,0.000149144
24,High,NM,666nm,90,0.53734,0.000895021,0.16224,0.000343762
25,None,M,488nm,50,0.59982,0.002572449,0.17068,0.000300433
